,k_0,p_hi,g,q,s,cost
134,300,0.1,0.15,1.3e-05,0.9,9442.159624413145
135,300,0.2,0.15,1.3e-05,0.1,15834.24882629108
136,300,0.2,0.15,1.3e-05,0.3,7697.657276995305
137,300,0.2,0.15,1.3e-05,0.5,5376.380281690141
138,300,0.2,0.15,1.3e-05,0.7,6751.450704225352
139,300,0.2,0.15,1.3e-05,0.9,16449.784037558686
140,300,0.3,0.15,1.3e-05,0.1,15746.985915492958
141,300,0.3,0.15,1.3e-05,0.3,9797.868544600939
142,300,0.3,0.15,1.3e-05,0.5,4871.967136150235
143,300,0.3,0.15,1.3e-05,0.7,6390.30985915493
144,300,0.3,0.15,1.3e-05,0.9,14943.854460093897
145,300,0.5,0.15,1.3e-05,0.1,16984.286384976527
146,300,0.5,0.15,1.3e-05,0.3,7651.389671361502
147,300,0.5,0.15,1.3e-05,0.5,4514.211267605634
148,300,0.5,0.15,1.3e-05,0.7,5660.032863849765
149,300,0.5,0.15,1.3e-05,0.9,11938.211267605633
